"","Team"
"1","Atlanta Hawks"
"2","Boston Celtics"
"3","Chicago Bulls"
"4","Cleveland Cavaliers"
"5","Denver Nuggets"
"6","Detroit Pistons"
"7","Golden State Warriors"
"8","Houston Rockets"
"9","Indiana Pacers"
"10","Kansas City Kings"
"11","League Average"
"12","Los Angeles Lakers"
"13","Milwaukee Bucks"
"14","New Jersey Nets"
"15","New York Knicks"
"16","Philadelphia 76ers"
"17","Phoenix Suns"
"18","Portland Trail Blazers"
"19","San Antonio Spurs"
"20","San Diego Clippers"
"21","Seattle SuperSonics"
"22","Utah Jazz"
"23","Washington Bullets"
"24","Dallas Mavericks"
"25","Los Angeles Clippers"
"26","Sacramento Kings"
"27","Charlotte Hornets"
"28","Miami Heat"
"29","Minnesota Timberwolves"
"30","Orlando Magic"
"31","Toronto Raptors"
"32","Vancouver Grizzlies"
"33","Washington Wizards"
"34","Memphis Grizzlies"
"35","New Orleans Hornets"
"36","Charlotte Bobcats"
"37","New Orleans/Oklahoma City Hornets"
"38","Oklahoma City Thunder"
"39","Brooklyn Nets"
"40","New Orleans Pelicans"
